sn,Name,Population,Rural population,Urban population,Density,Sex Ratio,Type
1,Maharashtra,112374333,61556074,50818259,365,929,Province/State
2,Uttar Pradesh,199812341,155317278,44495063,828,912,Province/State
3,Tamil Nadu,72147030,37229590,34917440,555,996,Province/State
4,West Bengal,91276115,62183113,29093002,"1,029",953,Province/State
5,Gujarat,60439692,34694609,25745083,308,919,Province/State
6,Karnataka,61095297,37469335,23625962,319,973,Province/State
7,Madhya Pradesh,72626809,52557404,20069405,236,931,Province/State
8,Rajasthan,68548437,51500352,17048085,201,928,Province/State
9,Delhi,16787941,419042,16368899,"11,297",868,Province/State
10,Kerala,33406061,17471135,15934926,859,"1,084",Province/State
11,Andhra Pradesh,49577103,34966693,14610410,303,993,Province/State
12,Telangana,35003674,21395009,13608665,312,988,Province/State
13,Bihar,104099452,92341436,11758016,"1,102",918,Province/State
14,Punjab,27743338,17344192,10399146,550,895,Province/State
15,Haryana,25351462,16509359,8842103,573,879,Province/State
16,Jharkhand,32988134,25055073,7933061,414,948,Province/State
17,Odisha,41974218,34970562,7003656,269,979,Province/State
18,Chhattisgarh,25545198,19607961,5937237,189,991,Province/State
20,Jammu and Kashmir,12541032,9108060,3432972,98,890,Province/State
21,Uttarakhand,10086292,7036954,3049338,189,963,Province/State
22,Chandigarh,1055450,28991,1026459,"9,252",818,Province/State
24,Goa,1458545,551731,906814,394,973,Province/State
25,Puducherry,1247953,395200,852753,"2,598","1,037",Province/State
26,Manipur,2570390,1793875,776515,122,992,Province/State
27,Himachal Pradesh,6864602,6176050,688552,123,972,Province/State
29,Mizoram,1097206,525435,571771,52,976,Province/State
33,Ladakh,274000,43840,230160,3,853,Province/State
35,Andaman and Nicobar Islands,380581,237093,143488,46,876,Province/State
19,Assam,31205576,26807034,4398542,397,954,Province/State
